100 284
9 97 5
79 82 6
75 88 7
57 76 14
63 95 16
11 19 17
62 93 17
9 21 19
47 55 21
32 77 25
36 66 28
54 84 29
48 53 30
28 79 31
16 83 33
6 48 35
29 57 35
20 75 37
2 62 38
30 70 38
56 99 38
41 46 40
84 92 41
5 41 43
14 56 44
13 92 44
15 70 45
18 90 45
42 50 45
69 75 45
77 80 47
35 72 47
15 80 47
24 58 49
23 97 49
34 39 49
10 24 53
28 78 53
17 59 55
20 22 55
7 69 55
66 68 57
52 78 59
4 7 59
4 51 60
3 67 62
8 45 62
38 61 64
65 71 64
21 49 65
13 21 65
77 100 69
38 52 70
62 95 71
42 84 71
24 89 72
53 73 73
10 43 73
31 87 73
40 74 74
39 86 74
29 81 75
60 81 75
96 99 79
37 74 80
11 71 80
50 60 80
1 16 81
45 49 81
33 51 82
6 44 82
36 37 83
22 27 84
56 87 84
40 63 88
30 53 88
33 74 89
51 91 90
67 73 95
25 90 96
46 82 97
47 91 97
39 94 99
31 86 101
45 98 106
44 98 113
14 93 114
13 65 114
41 89 116
17 55 118
7 26 120
43 64 126
26 76 128
3 25 129
64 86 133
12 59 133
1 32 139
37 85 150
72 100 159
68 98 181
26 27 192
3 44 242
67 83 246
12 22 513
16 79 228
43 58 128
18 44 271
33 91 110
18 96 241
93 99 127
57 81 105
50 81 136
35 70 210
33 55 179
46 89 151
29 50 181
54 81 196
20 27 97
58 96 235
21 97 24
58 90 160
12 14 189
88 91 115
8 48 118
33 40 159
23 35 233
44 45 116
2 66 93
43 52 392
61 79 184
2 95 81
5 52 127
30 48 110
14 95 132
19 23 171
48 70 142
37 68 137
47 88 177
5 46 64
50 65 161
35 100 206
18 58 190
20 88 43
86 96 110
34 43 280
3 46 174
78 82 78
4 26 153
9 49 81
54 85 238
79 83 199
8 70 194
1 100 184
31 39 120
80 100 84
4 76 216
71 76 390
51 69 87
43 89 144
42 60 97
76 81 120
70 80 48
15 32 65
10 89 73
14 99 65
17 47 139
14 87 99
4 81 227
12 47 301
1 83 82
46 79 103
69 91 113
19 35 278
54 60 124
18 68 146
19 65 93
56 96 110
32 73 180
93 95 88
52 89 252
69 88 47
34 64 159
14 59 202
17 63 155
30 73 113
33 85 153
37 40 82
31 56 112
3 79 192
70 100 132
38 43 462
44 48 90
5 78 110
34 94 131
50 71 186
44 73 149
8 49 94
47 59 186
54 92 54
17 40 139
31 94 136
3 18 246
19 71 84
93 96 179
6 53 35
66 93 135
27 76 320
8 23 155
59 63 153
12 94 293
21 23 65
13 42 102
61 78 133
4 33 128
25 46 180
5 82 115
68 85 212
44 68 215
15 77 56
49 54 76
6 73 75
32 83 214
28 61 154
28 82 33
8 97 108
20 69 71
16 61 238
14 63 148
4 85 207
4 69 90
42 92 77
37 66 105
22 88 80
13 23 72
34 38 740
67 79 221
2 93 44
30 32 117
58 89 120
45 54 147
64 96 136
2 63 86
40 55 201
37 63 138
12 87 145
58 64 215
63 66 144
49 97 86
7 20 105
36 68 59
7 27 176
5 89 137
8 35 276
32 67 223
81 85 232
32 100 82
70 72 175
55 91 102
18 93 174
46 58 203
34 86 100
56 86 149
50 76 228
49 92 91
38 78 98
23 65 127
85 98 173
15 30 51
10 58 88
29 76 49
16 100 261
18 66 158
18 25 140
25 58 143
60 84 108
22 47 217
11 35 292
74 85 156
45 48 135
3 73 151
42 65 136
54 98 190
21 92 84
87 94 198
